iso_issued,issued,iso_expired,expired,eventid,phenomena,significance,hvtec_nwsli,wfo,name,ph_name,sig_name
2007-08-25T22:04:00Z,2007-08-25 22:04,2007-08-26T02:08:00Z,2007-08-26 02:08,652,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2007-08-26T02:31:00Z,2007-08-26 02:31,2007-08-26T03:15:00Z,2007-08-26 03:15,299,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-03-04T22:55:00Z,2008-03-04 22:55,2008-03-05T06:44:00Z,2008-03-05 06:44,99,TO,A,,LWX,Tornado Watch,Tornado,Watch
2008-03-08T21:37:00Z,2008-03-08 21:37,2008-03-08T22:30:00Z,2008-03-08 22:30,19,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-03-20T04:01:00Z,2008-03-20 04:01,2008-03-20T06:03:00Z,2008-03-20 06:03,137,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-04-20T18:33:00Z,2008-04-20 18:33,2008-04-21T00:30:00Z,2008-04-21 00:30,2,FA,W,,LWX,Flood Warning,Flood,Warning
2008-05-09T04:22:00Z,2008-05-09 04:22,2008-05-09T08:15:00Z,2008-05-09 08:15,2,FF,W,,LWX,Flash Flood Warning,Flash Flood,Warning
2008-05-09T10:13:00Z,2008-05-09 10:13,2008-05-09T12:15:00Z,2008-05-09 12:15,11,FA,W,,LWX,Flood Warning,Flood,Warning
2008-05-11T23:49:00Z,2008-05-11 23:49,2008-05-12T03:45:00Z,2008-05-12 03:45,17,FA,W,,LWX,Flood Warning,Flood,Warning
2008-05-12T03:31:00Z,2008-05-12 03:31,2008-05-12T21:30:00Z,2008-05-12 21:30,26,FA,W,,LWX,Flood Warning,Flood,Warning
2008-05-31T14:27:00Z,2008-05-31 14:27,2008-05-31T19:09:00Z,2008-05-31 19:09,402,TO,A,,LWX,Tornado Watch,Tornado,Watch
2008-05-31T17:28:00Z,2008-05-31 17:28,2008-05-31T18:30:00Z,2008-05-31 18:30,54,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-05-31T18:50:00Z,2008-05-31 18:50,2008-05-31T19:37:00Z,2008-05-31 19:37,58,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-06-04T16:49:00Z,2008-06-04 16:49,2008-06-04T23:36:00Z,2008-06-04 23:36,447,TO,A,,LWX,Tornado Watch,Tornado,Watch
2008-06-04T18:55:00Z,2008-06-04 18:55,2008-06-04T20:15:00Z,2008-06-04 20:15,81,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-06-04T23:36:00Z,2008-06-04 23:36,2008-06-05T04:05:00Z,2008-06-05 04:05,454,TO,A,,LWX,Tornado Watch,Tornado,Watch
2008-06-04T23:46:00Z,2008-06-04 23:46,2008-06-05T00:28:00Z,2008-06-05 00:28,97,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-06-10T18:55:00Z,2008-06-10 18:55,2008-06-11T02:00:00Z,2008-06-11 02:00,501,SV,A,,LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-06-11T00:04:00Z,2008-06-11 00:04,2008-06-11T00:34:00Z,2008-06-11 00:34,147,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-06-11T00:47:00Z,2008-06-11 00:47,2008-06-11T01:25:00Z,2008-06-11 01:25,148,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-06-16T17:25:00Z,2008-06-16 17:25,2008-06-16T23:11:00Z,2008-06-16 23:11,551,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-06-16T19:52:00Z,2008-06-16 19:52,2008-06-16T20:30:00Z,2008-06-16 20:30,171,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-06-22T01:03:00Z,2008-06-22 01:03,2008-06-22T01:25:00Z,2008-06-22 01:25,189,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-06-22T17:15:00Z,2008-06-22 17:15,2008-06-23T00:00:00Z,2008-06-23 00:00,594,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-06-23T00:20:00Z,2008-06-23 00:20,2008-06-23T00:43:00Z,2008-06-23 00:43,209,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-06-23T21:00:00Z,2008-06-23 21:00,2008-06-24T02:25:00Z,2008-06-24 02:25,600,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-06-27T16:40:00Z,2008-06-27 16:40,2008-06-28T00:00:00Z,2008-06-28 00:00,618,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-06-29T00:48:00Z,2008-06-29 00:48,2008-06-29T01:25:00Z,2008-06-29 01:25,241,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-06-29T20:39:00Z,2008-06-29 20:39,2008-06-30T06:00:00Z,2008-06-30 06:00,643,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-06-30T21:18:00Z,2008-06-30 21:18,2008-06-30T21:47:00Z,2008-06-30 21:47,248,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-07-22T14:06:00Z,2008-07-22 14:06,2008-07-22T16:08:00Z,2008-07-22 16:08,724,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-07-23T19:27:00Z,2008-07-23 19:27,2008-07-24T01:45:00Z,2008-07-24 01:45,739,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-07-24T00:36:00Z,2008-07-24 00:36,2008-07-24T04:30:00Z,2008-07-24 04:30,9,FF,W,00000,LWX,Flash Flood Warning,Flash Flood,Warning
2008-07-24T00:38:00Z,2008-07-24 00:38,2008-07-24T01:30:00Z,2008-07-24 01:30,301,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-07-27T15:30:00Z,2008-07-27 15:30,2008-07-27T21:54:00Z,2008-07-27 21:54,759,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-07-27T17:30:00Z,2008-07-27 17:30,2008-07-27T18:15:00Z,2008-07-27 18:15,317,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-07-27T17:46:00Z,2008-07-27 17:46,2008-07-27T18:23:00Z,2008-07-27 18:23,319,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-07-30T20:54:00Z,2008-07-30 20:54,2008-07-31T00:50:00Z,2008-07-31 00:50,774,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-08-02T17:56:00Z,2008-08-02 17:56,2008-08-03T00:37:00Z,2008-08-03 00:37,793,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-08-02T21:07:00Z,2008-08-02 21:07,2008-08-02T21:35:00Z,2008-08-02 21:35,340,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-08-10T17:36:00Z,2008-08-10 17:36,2008-08-10T23:00:00Z,2008-08-10 23:00,818,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-08-14T19:40:00Z,2008-08-14 19:40,2008-08-14T20:30:00Z,2008-08-14 20:30,375,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-08-14T20:27:00Z,2008-08-14 20:27,2008-08-14T22:54:00Z,2008-08-14 22:54,829,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-08-14T20:30:00Z,2008-08-14 20:30,2008-08-14T20:49:00Z,2008-08-14 20:49,379,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2008-09-06T15:20:00Z,2008-09-06 15:20,2008-09-06T21:15:00Z,2008-09-06 21:15,14,FF,W,00000,LWX,Flash Flood Warning,Flash Flood,Warning
2008-09-06T21:13:00Z,2008-09-06 21:13,2008-09-07T01:00:00Z,2008-09-07 01:00,41,FA,W,00000,LWX,Flood Warning,Flood,Warning
2008-09-09T13:34:00Z,2008-09-09 13:34,2008-09-09T16:52:00Z,2008-09-09 16:52,893,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2008-11-15T17:25:00Z,2008-11-15 17:25,2008-11-15T19:37:00Z,2008-11-15 19:37,934,TO,A,"     ",LWX,Tornado Watch,Tornado,Watch
2009-02-12T01:21:00Z,2009-02-12 01:21,2009-02-12T03:53:00Z,2009-02-12 03:53,21,SV,A,"     ",LWX,Severe Thunderstorm Watch,Severe Thunderstorm,Watch
2009-02-12T03:07:00Z,2009-02-12 03:07,2009-02-12T03:45:00Z,2009-02-12 03:45,9,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2009-04-21T22:31:00Z,2009-04-21 22:31,2009-04-21T23:15:00Z,2009-04-21 23:15,23,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2009-05-07T04:22:00Z,2009-05-07 04:22,2009-05-07T07:15:00Z,2009-05-07 07:15,4,FA,W,00000,LWX,Flood Warning,Flood,Warning
